category,technique_name,slug,description,phase,ems_axes,difficulty
collaborative,Yes And Building,yes-and,"Build momentum through positive additions where each idea becomes a launching pad - use prompts like 'Yes and we could also...' to create energetic collaborative flow",divergent,"Couverture",easy
collaborative,Brain Writing Round Robin,brain-writing,"Silent idea generation followed by building on others' written concepts - gives quieter voices equal contribution while maintaining documentation",divergent,"Couverture,Profondeur",easy
collaborative,Random Stimulation,random-stimulation,"Use random words/images as creative catalysts to force unexpected connections - breaks through mental blocks with serendipitous inspiration",divergent,"Couverture,Profondeur",medium
collaborative,Role Playing,role-playing,"Generate solutions from multiple stakeholder perspectives to build empathy - embody different roles asking what they want and how they'd approach problems",convergent,"Couverture,Clarte",easy
collaborative,Ideation Relay Race,ideation-relay,"Rapid-fire idea building under time pressure creates urgency and breakthroughs - 30-second additions with quick building to maintain creative momentum",divergent,"Couverture",easy
creative,What If Scenarios,what-if,"Explore radical possibilities by questioning all constraints - 'What if we had unlimited resources?' 'What if the opposite were true?' Perfect for breaking stuck thinking",divergent,"Couverture,Profondeur",easy
creative,Analogical Thinking,analogical,"Find creative solutions by drawing parallels to other domains - ask 'This is like what?' to connect to existing solutions and transfer successful patterns",divergent,"Couverture,Profondeur",medium
creative,Reversal Inversion,reversal,"Deliberately flip problems upside down to reveal hidden assumptions - ask 'What if we did the opposite?' Great when conventional approaches fail",divergent,"Clarte,Couverture",medium
creative,First Principles,first-principles,"Strip away assumptions to rebuild from fundamental truths - ask 'What do we know for certain?' Essential for breakthrough innovation",divergent,"Clarte,Profondeur",hard
creative,Forced Relationships,forced-relationships,"Connect unrelated concepts to spark innovative bridges - take two unrelated things and find connections to generate unexpected solutions",divergent,"Couverture,Profondeur",medium
creative,Time Shifting,time-shifting,"Explore solutions across different time periods - 'How would this work in the past?' 'What about 100 years from now?' Reveals constraints and opportunities",divergent,"Couverture,Profondeur",medium
creative,Metaphor Mapping,metaphor-mapping,"Use extended metaphors as thinking tools - transforms abstract challenges into tangible narratives by extending and mapping metaphor elements",divergent,"Clarte,Profondeur",medium
creative,Cross-Pollination,cross-pollination,"Transfer solutions from completely different industries - ask how industry X would solve this to spark breakthrough innovations",divergent,"Couverture,Profondeur",medium
creative,Concept Blending,concept-blending,"Merge two or more existing concepts to create entirely new categories - goes beyond simple combination to genuine innovation",divergent,"Couverture,Profondeur",hard
creative,Reverse Brainstorming,reverse-brainstorm,"Generate problems instead of solutions - ask 'What could go wrong?' to identify hidden opportunities and reveal solution insights",divergent,"Couverture,Actionnabilite",easy
creative,Sensory Exploration,sensory,"Engage all five senses to discover multi-dimensional solution spaces - ask what ideas feel, smell, taste or sound like",divergent,"Profondeur,Couverture",medium
deep,Five Whys,5whys,"Drill down through layers of causation to uncover root causes - ask 'Why?' repeatedly until reaching fundamental drivers. Essential for solving at source",convergent,"Clarte,Profondeur",easy
deep,Morphological Analysis,morphological,"Systematically explore all possible parameter combinations - identify key parameters, list options for each, try combinations to find patterns",convergent,"Couverture,Profondeur",hard
deep,Provocation Technique,provocation,"Use deliberately provocative statements to extract useful ideas - ask 'What if [provocative statement]?' to catalyze breakthrough thinking",divergent,"Couverture,Profondeur",medium
deep,Assumption Reversal,assumption-reversal,"Challenge and flip core assumptions to rebuild from new foundations - ask 'What assumptions are we making?' Essential for paradigm shifts",convergent,"Clarte,Decisions",medium
deep,Question Storming,question-storming,"Generate questions before seeking answers - ask only questions, no answers yet. Ensures solving the right problem by exploring problem space",divergent,"Clarte,Couverture",easy
deep,Constraint Mapping,constraint-mapping,"Identify and visualize all constraints - categorize as technical, business, temporal, regulatory. Find pathways around or through limitations",convergent,"Actionnabilite,Decisions",medium
deep,Failure Analysis,failure-analysis,"Study successful failures to extract valuable insights - ask what went wrong, why it failed, what lessons emerged. Learns from what didn't work",convergent,"Profondeur,Actionnabilite",medium
deep,Emergent Thinking,emergent,"Allow solutions to emerge organically without forcing linear progression - ask what patterns emerge and what wants to happen naturally",divergent,"Couverture,Profondeur",hard
introspective,Inner Child Conference,inner-child,"Channel pure childhood curiosity and wonder - ask what 7-year-old you would ask, use 'why why why' questioning, make it fun. Cuts through adult complications",divergent,"Clarte,Profondeur",easy
introspective,Shadow Work Mining,shadow-work,"Explore what you're actively avoiding or resisting - examine unconscious blocks by asking what scares you and mining shadows for buried wisdom",divergent,"Clarte,Profondeur",hard
introspective,Values Archaeology,values-archaeology,"Excavate deep personal values driving decisions - dig to bedrock motivations by asking what really matters and what's non-negotiable",convergent,"Clarte,Decisions",medium
introspective,Future Self Interview,future-self,"Seek wisdom from wiser future self - ask your 80-year-old self what they'd tell younger you for long-term perspective and temporal mentoring",divergent,"Decisions,Actionnabilite",medium
introspective,Body Wisdom Dialogue,body-wisdom,"Let physical sensations and gut feelings guide ideation - ask what your body says and where you feel it. Taps somatic intelligence",divergent,"Clarte,Decisions",medium
introspective,Permission Giving,permission-giving,"Grant explicit permission to think impossible thoughts - give yourself permission to explore, experiment and break free from self-imposed barriers",divergent,"Couverture,Profondeur",easy
structured,SCAMPER,scamper,"Systematic creativity through seven lenses: Substitute, Combine, Adapt, Modify, Put to other uses, Eliminate, Reverse. Methodical product improvement",convergent,"Couverture,Profondeur",easy
structured,Six Thinking Hats,six-hats,"Explore through six perspectives: White (facts), Red (emotions), Yellow (benefits), Black (risks), Green (creativity), Blue (process). Comprehensive analysis",divergent,"Couverture,Decisions",easy
structured,Mind Mapping,mind-mapping,"Visually branch ideas from central concept - put main idea in center, branch concepts, identify sub-branches. Perfect for organizing complex thoughts",divergent,"Couverture,Profondeur",easy
structured,Resource Constraints,resource-constraints,"Generate solutions by imposing extreme limitations - 'What if you had only $1?' Forces essential priorities and creative efficiency",divergent,"Actionnabilite,Decisions",medium
structured,Decision Tree Mapping,decision-tree,"Map out all possible decision paths and outcomes - visualizes complex choice architectures by identifying paths and decision points",convergent,"Decisions,Actionnabilite",medium
structured,Solution Matrix,solution-matrix,"Create systematic grid of problem variables and solution approaches - identify variables, approaches, test combinations, find optimal pairings",convergent,"Decisions,Actionnabilite",medium
structured,Trait Transfer,trait-transfer,"Borrow attributes from successful solutions in unrelated domains - ask what traits make success X work and how to transfer them here",divergent,"Couverture,Profondeur",medium
structured,MoSCoW,moscow,"Categorize elements as Must/Should/Could/Won't - clarify priorities and manage expectations. Essential for MVP definition",convergent,"Decisions,Actionnabilite",easy
structured,SWOT,swot,"Analyze Strengths, Weaknesses, Opportunities, Threats - 360 degree strategic view for comparing approaches and making decisions",convergent,"Decisions,Couverture",easy
structured,Scoring Matrix,scoring,"Multicriteria decision matrix with weighted criteria - define criteria, assign weights, score options objectively for traceable decisions",convergent,"Decisions,Actionnabilite",medium
structured,Pre-mortem,premortem,"Anticipate failures before they happen - project into future where project failed, identify causes, define preventive mitigations",convergent,"Actionnabilite,Decisions",medium
theatrical,Time Travel Talk Show,time-travel,"Interview past/present/future selves for temporal wisdom - playful method gaining perspective across different life stages and timeline views",divergent,"Profondeur,Couverture",easy
theatrical,Alien Anthropologist,alien,"Examine familiar problems through completely foreign eyes - adopt outsider's bewildered perspective to reveal hidden assumptions",divergent,"Clarte,Couverture",easy
theatrical,Dream Fusion Laboratory,dream-fusion,"Start with impossible fantasy solutions then reverse-engineer - dream impossible then work backwards to reality identifying bridging steps",divergent,"Couverture,Profondeur",medium
theatrical,Emotion Orchestra,emotion-orchestra,"Let different emotions lead separate sessions then harmonize - explore angry, joyful, fearful, hopeful perspectives then combine all voices",divergent,"Couverture,Profondeur",medium
theatrical,Parallel Universe Cafe,parallel-universe,"Explore solutions under alternative reality rules - change fundamental assumptions about physics, social norms, history to break conventional thinking",divergent,"Couverture,Profondeur",hard
theatrical,Persona Journey,persona-journey,"Embody different archetypes to access diverse wisdom - become the archetype and ask how persona would solve this",divergent,"Couverture,Clarte",medium
wild,Chaos Engineering,chaos,"Deliberately break things to discover robust solutions - ask 'What if everything went wrong?' Build anti-fragility through stress-testing",divergent,"Actionnabilite,Profondeur",hard
wild,Guerrilla Gardening Ideas,guerrilla,"Plant unexpected solutions in unlikely places - use surprise and unconventional placement for stealth innovation",divergent,"Couverture,Profondeur",hard
wild,Pirate Code Brainstorm,pirate,"Take what works from anywhere and remix without permission - encourages rule-bending rapid prototyping and maverick thinking",divergent,"Couverture",medium
wild,Zombie Apocalypse Planning,zombie,"Design solutions for extreme survival scenarios - strips away all but essential functions to find core value in survival mode",divergent,"Actionnabilite,Clarte",medium
wild,Drunk History Retelling,drunk-history,"Explain complex ideas with uninhibited simplicity - no filter, raw thoughts, simplify to absurdity. Removes overthinking barriers",divergent,"Clarte",easy
wild,Anti-Solution,anti-solution,"Generate ways to make the problem worse - reveals hidden assumptions through destructive creativity asking how to sabotage this",divergent,"Clarte,Couverture",medium
wild,Quantum Superposition,quantum-super,"Hold multiple contradictory solutions simultaneously - explore how all solutions could be true at once until observation collapses to best",divergent,"Couverture,Decisions",hard
wild,Elemental Forces,elemental,"Imagine solutions being sculpted by natural elements - explore how earth, fire, water, air would shape this for primal creative energy",divergent,"Couverture,Profondeur",medium
biomimetic,Nature Solutions,nature-solutions,"Study how nature solves similar problems - ask how nature would solve this to access 3.8 billion years of evolutionary wisdom",divergent,"Couverture,Profondeur",medium
biomimetic,Ecosystem Thinking,ecosystem,"Analyze problem as ecosystem - identify symbiotic relationships, natural succession, ecological principles for systems thinking",divergent,"Couverture,Profondeur",hard
biomimetic,Evolutionary Pressure,evolutionary,"Apply evolutionary principles to improve solutions - ask what selective pressures apply and how this adapts over time",convergent,"Actionnabilite,Decisions",hard
quantum,Observer Effect,observer,"Recognize how observing solutions changes their behavior - ask how observing changes this and how to use observer effect advantageously",convergent,"Decisions,Profondeur",hard
